a	ə
jabłkoAdama	ˈjap.kɔ aˈda.ma
jabłkowy	japwˈkɔ.vɨ
jabło	ˈja.bwɔ
jabłoniowy	ja.bwɔˈɲɔ.vɨ
jabłoń	ˈja.bwɔɲ
jacy	ˈjat͡s̪ɨ
jad	jat
jadalnia	jaˈdal.ɲa
jadalny	jaˈdal.nɨ
jadać	ˈja.dat͡ɕ
jadowity	ja.dɔˈvʲi.tɨ
jadą	ˈja.dɔ̃
jadąc	ˈja.dɔnt͡s
jadło	ˈja.dwɔ
jadłowstręt	jaˈdwɔf.strɛnt
jagnię	ˈjaɡ.ɲɛ
jagnięcina	jaɡ.ɲɛɲˈt͡ɕi.na
jagnięcy	jaɡˈɲɛn.t͡sɨ
jagoda	ˈjaɡɔda
jaguar	ˈdʒæɡjuːə
jajach	ˈjajax
jajco	ˈjaj.t͡sɔ
jajecznica	ja.jɛt͡ʂˈɲi.t͡sa
jajeczny	jaˈjɛt͡ʂ.nɨ
jajka	ˈjaj.ka
jajko	ˈjajkɔ
jajnik	ˈjaj.ɲik
jajo	ˈjajɔ
jajowaty	ja.jɔˈva.tɨ
jajowód	jaˈjɔ.vut
jak	jak
jaka	ˈjaka
jakaś	ˈja.kaɕ
jakdiabli	jak ˈdjab.lʲi
jakgrochościanę	jak ˈɡrɔx ɔ ˈɕt͡ɕa.nɛ
jaki	ˈjaːcɪ
jakich	ˈjacix
jakie	ˈjacɛ
jakiego	jaˈcɛɡɔ
jakiej	ˈjacej
jakiemu	jaˈcɛ̃mu
jakikolwiek	ja.kʲiˈkɔl.vʲɛk
jakim	ˈjacĩm
jakimi	jaˈcimʲi
jakiś	ˈja.kʲiɕ
jakkolwiek	jakˈkɔl.vʲɛk
jakkrewznosa	jak ˈkrɛf ˈznɔ.sa
jakkurapazurem	jak ˈku.ra paˈzu.rɛm
jakmasznaimię	jak maʂ na ˈi.mʲɛ
jako	ˈjako
jakoby	ˈjakobɪ
jakoś	ˈja.kɔɕ
jakość	ˈja.kɔɕt͡ɕ
jaksięmasz	jak ɕɛ ˈmaʂ
jaksłońwskładzieporcelany	jak ˈswɔɲ ˈfskwa.d͡ʑɛ pɔr.t͡sɛˈla.nɨ
jaktam	jak tam
jaktylko	jak ˈtɨl.kɔ
jakzkoziejdupytrąba	jak ˈskɔ.ʑɛj ˈdu.pɨ ˈtrɔm.ba
jakzwał,takzwał	jaɡˈzvaw taɡˈzvaw
jaką	ˈjakɔ̃w̃
jakąś	ˈja.kɔɲɕ
jama	ˈja.ma
jamajski	jaˈmaj.skʲi
jamnik	ˈjam.ɲik
jamochłon	jaˈmɔ.xwɔn
janczar	ˈjan.t͡ʂar
jantar	ˈjantaɾ
janusz	ˈja.nuʂ
japa	ˈja.pa
japierdolę	ja pʲɛrˈdɔ.lɛ
japoniec	jaˈpɔ.ɲɛt͡s
japonka	jaˈpɔn.ka
japoński	jaˈpɔɲ.skʲi
jar	dʒɑɹ
jard	jart
jarda	ˈjar.da
jarmark	ˈjar.mark
jarmuż	ˈjarmuʂ
jary	ˈjarɨ
jarzmo	ˈjaʐ.mɔ
jarzynowa	ja.ʐɨˈnɔ.va
jarzyć	ˈja.ʐɨt͡ɕ
jarząb	ˈja.ʐɔmp
jarząbek	jaˈʐɔm.bɛk
jarząbowy	ja.ʐɔmˈbɔ.vɨ
jarzębatka	jaʐɛmˈbatka
jarzębina	ja.ʐɛmˈbʲi.na
jasiek	ˈja.ɕɛk
jałmużna	jawˈmuʐ.na
jałowcowy	ja.wɔfˈt͡sɔ.vɨ
jałowiec	jaˈwɔ.vʲɛt͡s
jałowy	jaˈwɔ.vɨ
jałówka	jaˈwuf.ka
kabaczek	kaˈba.t͡ʂɛk
kabanos	kaˈba.nɔs
kabardyjski	kabarˈd̪ɨjs̪ci
kabaret	kaˈba.rɛt
kabała	kaˈbawa
kabel	kabɛl
kablować	kabˈlɔ.vat͡ɕ
kablówka	kabˈluf.ka
kabriolet	kabˈrʲɔ.lɛt
kabylski	kaˈbɨl.skʲi
kac	kat͡s
kacap	ˈka.t͡sap
kacenjamer	ka.t͡sɛnˈja.mɛr
kacerz	ˈka.t͡sɛʂ
kacmoralny	kat͡s mɔˈral.nɨ
kaczan	ˈka.t͡ʂan
kaczka	ˈkat͡ʂ.ka
kaczkadziennikarska	ˈkat͡ʂ.ka d͡ʑɛɲ.ɲiˈkar.ska
kaczogrodzki	ka.t͡ʂɔˈɡrɔt͡s.kʲi
kaczor	ˈka.t͡ʂɔr
kaczuszka	kaˈt͡ʂuʂ.ka
kaczyzm	ˈka.t͡ʂɨzm
kaczątko	kaˈt͡ʂɔn.tkɔ
kaczę	ˈka.t͡ʂɛ
kadencja	kaˈdɛn.t͡sja
kadet	ˈkadɛt
kadm	kadm
kadzidło	kaˈd͡ʑi.dwɔ
kadzielnica	ka.d͡ʑɛlˈɲi.t͡sa
kadzić	ˈka.d͡ʑit͡ɕ
kadłub	ˈka.dwup
kadź	kat͡ɕ
kafar	ˈka.far
kaganiec	kaˈɡa.ɲɛt͡s
kajak	ˈkɒjɒk
kajaku	kaˈjaku
kajać	ˈka.jat͡ɕ
kajet	ˈka.jɛt
kajman	ˈkaj.man
kajzerka	kajˈzɛr.ka
kakadu	ˈkɑkɑdu
kakao	kakaːo
kakaowiec	ka.kaˈɔ.vʲɛt͡s
kakaowy	ka.kaˈɔ.vɨ
kaktus	kaktus
kaktusowy	kak.tuˈsɔ.vɨ
kalafior	kaˈla.fʲɔr
kalafonia	ka.laˈfɔ.ɲa
kalarepa	ka.laˈrɛ.pa
kalać	ˈka.lat͡ɕ
kalcyt	ˈkal.t͡sɨt
kaledoński	ka.lɛˈdɔɲ.skʲi
kalejdoskop	ka.lɛjˈdɔ.skɔp
kaleka	kaˈlɛ.ka
kalendarz	kaˈlɛn.daʂ
kalesony	ka.lɛˈsɔ.nɨ
kaleta	kaˈlɛ.ta
kaliforn	kaˈlʲi.fɔrn
kalina	kaˈlʲi.na
kalk	ˈkalk
kalka	ˈkʰal̥ka
kalkulator	kal.kuˈla.tɔr
kalosz	ˈka.lɔʂ
kalumnia	kaˈlum.ɲa
kalwinista	kal.vʲiˈɲi.sta
kalwinizm	kalˈvʲi.ɲizm
kambodżański	kam.bɔˈd͡ʐaɲ.skʲi
kameleon	kɑmələuːn
kamera	ˈkamɛra
kameruński	ka.mɛˈruɲ.skʲi
kamerzysta	ka.mɛˈʐɨ.sta
kamerę	kaˈmɛ.rɛ
kamica	kaˈmʲi.t͡sa
kamieniarz	kaˈmʲɛɲaʂ
kamienica	ka.mʲɛˈɲi.t͡sa
kamienicy	ka.mʲɛˈɲi.t͡sɨ
kamieniołom	ka.mʲɛˈɲɔ.wɔm
kamienisty	ka.mʲɛˈɲi.stɨ
kamienny	kaˈmʲɛn.nɨ
kamień	ˈka.mʲɛɲ
kamionka	kaˈmʲɔn.ka
kamizelka	ka.mʲiˈzɛl.ka
kamyk	ˈka.mɨk
kanadyjski	ka.naˈdɨj.skʲi
kanalizacja	ka.na.lʲiˈzat͡s.ja
kanapa	kaˈna.pa
kanapeczka	ka.naˈpɛt͡ʂ.ka
kanapka	kaˈnap.ka
kanar	ˈka.nar
kanarek	kaˈna.rɛk
kanasta	kaˈnasta
kanał	ˈka.naw
kandela	ˈkɑndelɑ
kandelabr	kanˈdɛ.labr
kandydat	kanˈdɨ.dat
kangur	ˈkan.ɡur
kania	ˈka.ɲa
kanibal	kaˈɲi.bal
kanikuła	ka.ɲiˈku.wa
kanion	ˈkaɲ.jɔn
kanonierka	ka.nɔˈɲɛr.ka
kanonizacja	ka.nɔ.ɲiˈzat͡s.ja
kant	kɑnt
kantar	kənˈtɑ
kantata	ˈkʰan̥taːta
kanton	ˈkɒnton
kantor	kan.tor
kaodaizm	ka.ɔˈda.izm
kaon	ka.ɔ̃
kapa	ˈkɒpɒ
kapać	ˈka.pat͡ɕ
kapela	kaˈpɛ.la
kapelmistrz	kaˈpɛl.mʲistʂ
kapelusz	kaˈpɛ.luʂ
kapeć	ˈka.pɛt͡ɕ
kapitalista	ka.pʲi.taˈlʲi.sta
kapitalistyczny	ka.pʲi.ta.lʲiˈstɨt͡ʂ.nɨ
kapitalizm	ka.pʲiˈta.lʲizm
kapitan	kaˈpʲi.tan
kapitana	ka.pʲiˈta.na
kapitanem	ka.pʲiˈta.nɛm
kapitanie	kapʲiˈt̪ãɲɛ
kapitanowi	ka.pʲi.taˈnɔ.vʲi
kapitel	kaˈpʲi.tɛl
kapitulacja	ka.pʲi.tuˈlat͡s.ja
kaplica	kapˈlʲi.t͡sa
kapo	ˈkapo
kapować	kaˈpɔ.vat͡ɕ
kaprawy	kaˈpra.vɨ
kapryśny	kaˈprɨɕ.nɨ
kapłan	ˈka.pwan
kapłaństwo	kaˈpwaɲ.stfɔ
kał	kaw
kałamarnica	ka.wa.marˈɲi.t͡sa
kałamarz	kaˈwa.maʂ
kałuża	kaˈwu.ʐa
label	ˈleɪbəl
labirynt	laˈbʲi.rɨnt
laboratorium	la.boː.raːˈtoː.ri.um
lada	ˈla.da
laguna	laˈɡu.na
lakier	ˈlakʲɛr
lakmus	ˈlɑkmus
lakoniczna	la.kɔˈɲit͡ʂ.na
lakoniczne	la.kɔˈɲit͡ʂ.nɛ
lakoniczny	lakɔˈɲit͡ʂnɨ
laktaza	lakˈta.za
laktoza	lakˈtɔ.za
laleczka	laˈlɛt͡ʂ.ka
lalka	ˈlal.ka
lama	ˈlɑː.mə
lambda	ˈlæm.də
lampa	ˈlampa
lampart	ˈlam.part
landszaft	ˈlan.tʂaft
langusta	ˈlaŋgusta
lankijski	lanˈkʲij.skʲi
lans	lans
lansować	lanˈsɔ.vat͡ɕ
lantan	ˈlan.tan
lantanowiec	lan.taˈnɔ.vʲɛt͡s
laotański	la.ɔˈtaɲ.skʲi
lapoński	laˈpɔɲ.skʲi
laptop	ˈlæp.tɒp
larum	ˈla.rum
larwa	ˈlar.va
laryngolog	la.rɨnˈɡɔ.lɔk
las	lɑ
lasek	ˈla.sɛk
laser	ˈleɪz.ə(ɹ)
laska	ˈla.ska
laskach	ˈlaskax
laski	ˈlas.kʲi
lasu	ˈlasu
lat	lɑːt
lata	ˈlata̝
latach	ˈla.tax
latając	laˈta.jɔnt͡s
latający	la.taˈjɔn.t͡sɨ
latarka	laˈtar.ka
latarnia	laˈtar.ɲa
latarniowiec	la.tarˈɲɔ.vʲɛt͡s
latawiec	laˈta.vʲɛt͡s
latać	ˈla.tat͡ɕ
lato	ˈlɑt̪o
lawa	ˈlawa
lawenda	laˈvɛn.da
lawina	laˈvʲi.na
lać	lat͡ɕ
laćjakzcebra	ˈlat͡ɕ jak ˈst͡sɛ.bra
laćwodę	lat͡ɕ ˈvɔ.dɛ
leasing	ˈliːsɪŋ
lec	ˈleːk
leci	ˈlɛ.t͡ɕi
leciał	ˈlɛ.t͡ɕaw
leciała	lɛˈt͡ɕa.wa
leciałaby	lɛ.t͡ɕaˈwa.bɨ
leciałabym	lɛ.t͡ɕaˈwa.bɨm
leciałabyś	lɛ.t͡ɕaˈwa.bɨɕ
leciałam	lɛˈt͡ɕa.wam
leciałaś	lɛˈt͡ɕa.waɕ
leciałby	lɛˈt͡ɕaw.bɨ
leciałbym	lɛˈt͡ɕaw.bɨm
leciałbyś	lɛˈt͡ɕaw.bɨɕ
leciałem	lɛˈt͡ɕa.wɛm
leciałeś	lɛˈt͡ɕa.wɛɕ
leciało	lɛˈt͡ɕa.wɔ
leciałoby	lɛ.t͡ɕaˈwɔ.bɨ
lecicie	lɛˈt͡ɕi.t͡ɕɛ
lecieć	ˈlɛ.t͡ɕɛt͡ɕ
lecimy	lɛˈt͡ɕi.mɨ
lecisz	ˈlɛ.t͡ɕiʂ
lecz	lɛt͡ʂ
leczenie	lɛˈt͡ʂɛ.ɲɛ
leczyć	ˈlɛ.t͡ʂɨt͡ɕ
lecą	ˈlɛ.t͡sɔ̃
lecę	ˈlɛ.t͡sɛ
ledwie	ˈlɛd.vʲɛ
ledwo	ˈlɛd.vɔ
legalny	lɛˈɡal.nɨ
legenda	ˈlɛɡɛndɒ
legion	ˈliːdʒən
legionista	lɛ.ɡʲɔˈɲi.sta
legitymizować	lɛ.ɡʲi.tɨ.mʲiˈzɔ.vat͡ɕ
legowisko	lɛ.ɡɔˈvʲi.skɔ
lej	lɑj
lekarka	lɛˈkar.ka
lekarstwo	lɛˈkar.stfɔ
lekarz	ˈlɛ.kaʂ
lekarza	lɛˈka.ʐa
lekarze	lɛˈka.ʐɛ
lekcja	ˈlɛk.t͡sja
lekcje	ˈlɛk.t͡sjɛ
lekki	ˈlɛk.kʲi
lekko	ˈlɛk.kɔ
lekkoatleta	lɛk.kɔ.atˈlɛ.ta
lekkoatletyka	lɛk.kɔ.atˈlɛ.tɨ.ka
leksem	ˈlɛk.sɛm
leku	ˈlɛku
lelek	ˈlɛlɛk
lemiesz	ˈlɛ.mʲɛʂ
leming	ˈlɛ.mʲink
lemoniada	lɛ.mɔˈɲa.da
len	lɛn
leninowski	lɛ.ɲiˈnɔf.skʲi
lenistwo	lɛˈɲi.stfɔ
leniwiec	lɛˈɲi.vʲɛt͡s
leniwy	lɛˈɲi.vɨ
lep	ˈlɛp
lepiej	ˈlɛ.pʲɛj
lepić	ˈlɛ.pʲit͡ɕ
lepki	ˈlɛp.kʲi
lepsiejszy	lɛpˈɕɛj.ʂɨ
lepsza	ˈlɛp.ʂa
lepszy	ˈlɛp.ʂɨ
lepton	ˈlɛptɒn
lesba	ˈlɛz.ba
lesbijka	lɛzˈbʲij.ka
leseferyzm	lɛ.sɛˈfɛ.rɨzm
lesie	ˈlɛ.ɕɛ
less	lɛs
leszcz	lɛʂt͡ʂ
leszczyna	lɛʂˈt͡ʂɨ.na
letni	ˈlɛt.ɲi
leucyna	lɛwˈt͡sɨ.na
lew	lɛˑʊ
lewa	ˈlɛ.va
lewacki	lɛˈvat͡s.kʲi
lewactwo	lɛˈvat͡s.tfɔ
lewak	ˈlɛ.vak
lewe	ˈlɛ.vɛ
lewica	lɛˈvʲi.t͡sa
lewicowy	lɛ.vʲiˈt͡sɔ.vɨ
leworęczny	lɛ.vɔˈrɛn.t͡ʂnɨ
lewy	ˈlɛ.vɨ
leć	lɛt͡ɕ
lećcie	ˈlɛt͡ɕ.t͡ɕɛ
lećmy	ˈlɛt͡ɕ.mɨ
leń	lɛɲ
leśny	ˈlɛɕ.nɨ
leśnydziadek	ˈlɛɕ.nɨ ˈd͡ʑa.dɛk
leźć	lɛɕt͡ɕ
ląd	lɔnt
lądowanie	lɔn.dɔˈva.ɲɛ
lądowisko	lɔn.dɔˈvʲi.skɔ
ma	ma
macać	ˈma.t͡sat͡ɕ
macedoński	ma.t͡sɛˈdɔɲ.skʲi
macewa	maˈt͡sɛ.va
mach	max
machać	ˈma.xat͡ɕ
machin	ma.ʃɛ̃
machina	ma.ʃi.na
macica	maˈt͡ɕi.t͡sa
maciczny	maˈt͡ɕit͡ʂ.nɨ
macie	ˈmat͡ɕɛ
maciejka	maˈt͡ɕejka
macierz	ˈma.t͡ɕɛʂ
macierzanka	ma.t͡ɕɛˈʐan.ka
macierzyński	ma.t͡ɕɛˈʐɨɲ.skʲi
macierzyństwo	ma.t͡ɕɛˈʐɨɲ.stfɔ
macocha	maˈt͡sɔ.xa
maczeta	maˈt͡ʂɛ.ta
maczuga	maˈt͡ʂu.ɡa
mag	mɑx
magazyn	maˈɡa.zɨn
magenta	məˈdʒɛntə
magia	maˈɡia
magiczny	maˈɡʲit͡ʂ.nɨ
magister	ˈmædʒɪstə(ɹ)
magisterka	ma.ɡʲiˈstɛr.ka
magisterski	ma.ɡʲiˈstɛr.skʲi
magisterskie	ma.ɡʲiˈstɛr.skʲɛ
magistra	maˈɡis.tra
magma	ˈmæɡ.mə
magnes	ˈmaɡ.neːs
magnetofon	ˈmɒɡnɛtofon
magnetowid	maɡ.nɛˈtɔ.vʲit
magnetyczny	maɡ.nɛˈtɨt͡ʂ.nɨ
magnez	ˈmaɡ.nɛs
magnolia	ˌmæɡˈnoʊ.li.ə
maj	maj
majeranek	ma.jɛˈra.nɛk
majonez	maˈjɔ.nɛs
major	ˈmeɪ.dʒə(ɹ)
majorze	maˈjɔ.ʐɛ
majowy	maˈjɔ.vɨ
majsterkowanie	maj.stɛr.kɔˈva.ɲɛ
majsterkować	maj.stɛrˈkɔ.vat͡ɕ
majtki	ˈmaj.tkʲi
maju	ˈmaju
majówka	maˈjuf.ka
mają	ˈmajɔ̃w̃
mając	ˈma.jɔnt͡s
mający	maˈjɔn.t͡sɨ
majątek	maˈjɔn.tɛk
mak	mɑk
makak	maˈkak
makaron	maˈka.rɔn
makaroniarz	ma.kaˈrɔ.ɲaʂ
makieta	maˈkʲɛ.ta
makijaż	maˈkʲi.jaʂ
makler	ˈmak.lɛr
makolągwa	makɔˈlɔŋɡva
makowiec	maˈkɔ.vʲɛt͡s
makrela	ˈmakrɛla
maksymalny	mak.sɨˈmal.nɨ
maku	ˈmɑku
malachit	maˈla.xʲit
malaria	ma.la.ʁja
malarka	maˈlar.ka
malarstwo	maˈlar.stfɔ
malarz	ˈma.laʂ
malina	maˈliː.na
malinka	maˈlʲin.ka
malinowy	ma.lʲiˈnɔ.vɨ
malowanie	ma.lɔˈva.ɲɛ
malować	maˈlɔ.vat͡ɕ
malowidło	ma.lɔˈvʲi.dwɔ
maltański	malˈtaɲ.skʲi
maluch	ˈma.lux
malując	maˈlu.jɔnt͡s
malujący	ma.luˈjɔn.t͡sɨ
malunek	maˈlu.nɛk
malutki	maˈlut.kʲi
mać	mat͡ɕ
mała	ˈmawa
małaczarna	ˈma.wa ˈt͡ʂar.na
małe	ˈmawɛ
mało	ˈmawɔ
małopolski	ma.wɔˈpɔl.skʲi
małp	mawp
małą	ˈma.wɔ̃
na	na
nabiał	ˈna.bʲaw
nabićwbutelkę	ˈna.bʲit͡ɕ vbuˈtɛl.kɛ
nabożeństwo	na.bɔˈʐɛɲ.stfɔ
nabycie	naˈbɨ.t͡ɕɛ
nabywać	naˈbɨ.vat͡ɕ
nabywca	naˈbɨf.t͡sa
nachalny	naˈxal.nɨ
nacjonalistyczny	nat͡s.jɔ.na.lʲiˈstɨt͡ʂ.nɨ
nacjonalizm	nat͡s.jɔˈna.lʲizm
naczczo	ˈnat͡ʂt͡ʂɔ
naczelnik	naˈt͡ʂɛl.ɲik
naczynie	naˈt͡ʂɨ.ɲɛ
naczyniówka	nat͡ʂɨˈɲufka
nad	nat
nadaje	naˈda.jɛ
nadajnik	naˈdaj.ɲik
nadal	ˈna.dal
nadawać	naˈda.vat͡ɕ
nadawca	naˈdaf.t͡sa
nadchodzi	natˈxɔ.d͡ʑi
nadchodzić	natˈxɔ.d͡ʑit͡ɕ
nadchodzą	natˈxɔ.d͡zɔ̃
nadczłowiek	natˈt͡ʂwɔ.vʲɛk
nade	ˈna.dɛ
nadejdzie	naˈdɛj.d͡ʑɛ
nadejść	ˈna.dɛjɕt͡ɕ
nadepnąć	naˈdɛp.nɔɲt͡ɕ
nadgarstek	nadˈɡar.stɛk
nadgorliwość	nad.ɡɔrˈlʲi.vɔɕt͡ɕ
nadmiar	ˈnad.mʲar
nadmierny	nadˈmʲɛr.nɨ
nadobny	ˈnadobn̪ɨ
nadprzewodnik	nat.pʂɛˈvɔ.dɲik
nadrobić	naˈdrɔ.bʲit͡ɕ
nadszedł	ˈnat.ʂɛdw
nadużywając	na.du.ʐɨˈva.jɔnt͡s
nadużywający	na.du.ʐɨ.vaˈjɔn.t͡sɨ
nadwabaty	na dva ˈba.tɨ
nadymać	naˈdɨ.mat͡ɕ
nadzieja	naˈd͡ʑɛ.ja
nadzieje	naˈd͡ʑɛ.jɛ
nadzieję	n̪aˈd͡ʑejɛ
nadzorca	nad͡zˈzɔr.t͡sa
nadzorować	nad.zɔˈrɔ.vat͡ɕ
nadzwyczajny	nad.zvɨˈt͡ʂaj.nɨ
nadzór	ˈnad.zur
nafta	ˈnaf.ta
naftalen	nafˈta.lɛn
nagi	ˈnaɡʲi
nagietek	naˈɡʲɛ.tɛk
nagle	ˈnaɡ.lɛ
naglący	naɡˈlɔn.t͡sɨ
nagonka	naˈɡɔn.ka
nagość	ˈna.ɡɔɕt͡ɕ
nagradzając	na.ɡraˈd͡za.jɔnt͡s
nagradzający	na.ɡra.d͡zaˈjɔn.t͡sɨ
nagradzanie	na.ɡraˈd͡za.ɲɛ
nagrobek	naˈɡrɔ.bɛk
nagroda	naˈɡrɔ.da
nagrodę	naˈɡrɔ.dɛ
nagrywarka	na.ɡrɨˈvar.ka
nagły	ˈna.ɡwɨ
nagłyprzypadek	ˈna.ɡwɨ pʂɨˈpa.dɛk
nagłówek	naˈɡwu.vɛk
nahejnał	na ˈxɛj.naw
naiwny	naˈiv.nɨ
naj	naj
najabsurdalniej	na.jap.surˈdal.ɲɛj
najabsurdalniejszy	na.jap.sur.dalˈɲɛj.ʂɨ
najadekwatniej	na.ja.dɛˈkfat.ɲɛj
najadekwatniejszy	na.ja.dɛ.kfatˈɲɛj.ʂɨ
najaktualniejszy	na.jak.tu.alˈɲɛj.ʂɨ
najaktywniejszy	na.jak.tɨvˈɲɛj.ʂɨ
najambitniejszy	na.jam.bʲitˈɲɛj.ʂɨ
najatrakcyjniejszy	na.ja.trak.t͡sɨjˈɲɛj.ʂɨ
najbanalniejszy	naj.ba.nalˈɲɛj.ʂɨ
najbardziej	n̪ajˈbarʲd͡ʑej
najbarwniejszy	naj.barˈvɲɛj.ʂɨ
najbezpieczniejszy	naj.bɛs.pʲɛt͡ʂˈɲɛj.ʂɨ
najbiedniejszy	naj.bʲɛˈdɲɛj.ʂɨ
najbielszy	najˈbʲɛl.ʂɨ
najbladszy	najˈblat.ʂɨ
najbledszy	najˈblɛt.ʂɨ
najbliższy	najˈblʲiʂ.ʂɨ
najbogatszy	naj.bɔˈɡat.ʂɨ
najbrudniej	najˈbru.dɲɛj
najbrudniejszy	naj.bruˈdɲɛj.ʂɨ
najbrutalniejszy	naj.bru.talˈɲɛj.ʂɨ
najbujniejszy	naj.bujˈɲɛj.ʂɨ
najbystrzejszy	naj.bɨˈstʂɛj.ʂɨ
najchciwszy	najˈxt͡ɕif.ʂɨ
najchudszy	najˈxut.ʂɨ
najchwalebniejszy	naj.xfa.lɛbˈɲɛj.ʂɨ
najchytrzejszy	naj.xɨtˈʂɛj.ʂɨ
najchłodniejszy	naj.xwɔˈdɲɛj.ʂɨ
najciaśniejszy	naj.t͡ɕaɕˈɲɛj.ʂɨ
najcichszy	najˈt͡ɕix.ʂɨ
najciekawiej	naj.t͡ɕɛˈka.vʲɛj
najciemniejszy	naj.t͡ɕɛmˈɲɛj.ʂɨ
najcieńszy	najˈt͡ɕɛɲ.ʂɨ
najcnotliwszy	naj.t͡snɔtˈlʲif.ʂɨ
najcudaczniejszy	naj.t͡su.dat͡ʂˈɲɛj.ʂɨ
najcudniejszy	naj.t͡suˈdɲɛj.ʂɨ
najcudowniejszy	naj.t͡su.dɔvˈɲɛj.ʂɨ
najczarniejszy	naj.t͡ʂarˈɲɛj.ʂɨ
najczerwieńszy	naj.t͡ʂɛrˈvʲɛɲ.ʂɨ
najczulszy	najˈt͡ʂul.ʂɨ
najczytelniejszy	naj.t͡ʂɨ.tɛlˈɲɛj.ʂɨ
najczęstszy	najˈt͡ʂɛ̃.stʂɨ
najdalszy	najˈdal.ʂɨ
najdawniejszy	naj.davˈɲɛj.ʂɨ
najdelikatniejszy	naj.dɛ.lʲi.katˈɲɛj.ʂɨ
najdojrzalszy	naj.dɔjˈʐal.ʂɨ
najdokładniejszy	naj.dɔ.kwaˈdɲɛj.ʂɨ
najdoroślejszy	naj.dɔ.rɔɕˈlɛj.ʂɨ
najdoskonalszy	naj.dɔ.skɔˈnal.ʂɨ
najdostępniejszy	naj.dɔ.stɛmˈpɲɛj.ʂɨ
najdowcipniej	naj.dɔfˈt͡ɕip.ɲɛj
najdrapieżniejszy	naj.dra.pʲɛʐˈɲɛj.ʂɨ
najdumniejszy	naj.dumˈɲɛj.ʂɨ
najdyskretniejszy	naj.dɨ.skrɛtˈɲɛj.ʂɨ
najdzielniejszy	naj.d͡ʑɛlˈɲɛj.ʂɨ
najdzikszy	najˈd͡ʑik.ʂɨ
najdłuższy	najˈdwuʂ.ʂɨ
najebany	na.jɛˈba.nɨ
najebaćsię	naˈjɛbat͡ɕ ɕɛ
najebka	naˈjɛp.ka
najegzotyczniejszy	na.jɛɡ.zɔ.tɨt͡ʂˈɲɛj.ʂɨ
najekologiczniejszy	na.jɛ.kɔ.lɔ.ɡʲit͡ʂˈɲɛj.ʂɨ
najemnik	naˈjɛm.ɲik
najeźdźca	na ˈjɛɕ.t͡ɕt͡sa
najeża	na ˈjɛ.ʐa
najfajniej	naˈjfaj.ɲɛj
najfajniejszy	na.jfajˈɲɛj.ʂɨ
najgorliwiej	naj.ɡɔrˈlʲi.vʲɛj
najgorliwszy	naj.ɡɔrˈlʲif.ʂɨ
najgorszy	najˈɡɔrʂɨ
najgorzej	najˈɡɔ.ʐɛj
najgoręcej	naj.ɡɔˈrɛn.t͡sɛj
najgościnniej	naj.ɡɔɕˈt͡ɕin.ɲɛj
najgrubszy	najˈɡrup.ʂɨ
najgęstszy	najˈɡɛ̃.stʂɨ
najgłodniejszy	naj.ɡwɔˈdɲɛj.ʂɨ
najgłośniejszy	naj.ɡwɔɕˈɲɛj.ʂɨ
najgłupszy	najˈɡwup.ʂɨ
najgłębszy	najˈɡwɛm.pʂɨ
najhojniejszy	naj.xɔjˈɲɛj.ʂɨ
najinteligentniejszy	na.jin.tɛ.lʲi.ɡɛnˈtɲɛj.ʂɨ
najintymniejszy	na.jin.tɨmˈɲɛj.ʂɨ
najkonkretniejszy	naj.kɔn.krɛtˈɲɛj.ʂɨ
najkoszmarniejszy	naj.kɔʂ.marˈɲɛj.ʂɨ
najkruchszy	najˈkruxʂɨ
najkruszej	najˈkru.ʂɛj
najkrwawiej	najˈkrva.vʲɛj
najkrótszy	najˈkrut.ʂɨ
najkrąglejszy	naj.krɔŋˈɡlɛj.ʂɨ
najkwaśniejszy	naj.kfaɕˈɲɛj.ʂɨ
najkłamliwiej	naj.kwamˈlʲi.vʲɛj
najlepiej	najˈlɛ.pʲɛj
najlepsiejszy	naj.lɛpˈɕɛj.ʂɨ
najlepszy	n̪ajˈlɛpʂɨ
najlichszy	najˈlʲix.ʂɨ
najliczniejszy	naj.lʲit͡ʂˈɲɛj.ʂɨ
nakońcujęzyka	na ˈkɔɲ.t͡su jɛ̃ˈzɨ.ka
nakrzywyryj	na ˈkʂɨ.vɨ rɨj
nalewąstronę	na ˈlɛ.vɔ̃ ˈstrɔ.nɛ
nanogach	na ˈnɔ.ɡax
naodwalsię	na ˈɔd.val ɕɛ
naokaziciela	na ɔ.ka.ʑiˈt͡ɕɛ.la
napamięć	na ˈpa.mʲɛɲt͡ɕ
napewno	na ˈpɛv.nɔ
napieska	na ˈpʲɛ.ska
napodwójnymgazie	na pɔdˈvuj.nɨm ˈɡa.ʑɛ
naprzykład	na ˈpʂɨ.kwat
napunkcie	na ˈpun.kt͡ɕɛ
narazie	naˈra.ʑɛ
nasetkę	na ˈsɛt.kɛ
naszybkości	na ʂɨpˈkɔɕ.t͡ɕi
natwoimmiejscu	na ˈtfɔ.im ˈmʲɛj.st͡su
nazdrowie	na ˈzdrɔ.vʲɛ
nazewnątrz	na ˈzɛv.nɔntʂ
nać	nat͡ɕ
naświętynigdy	na ˈɕfʲɛn.tɨ ˈɲiɡ.dɨ
nażądanie	na ʐɔnˈda.ɲɛ
o	o
oba	oba
obalając	ɔ.baˈla.jɔnt͡s
obalający	ɔ.ba.laˈjɔn.t͡sɨ
obalanie	ɔ.baˈla.ɲɛ
